Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,HDOP,Altitude,UTM_easting,UTM_northing,Zone,Letter
1675438031.6626542,28,5764,0,GPS_Frame 1,42.338866666666675,-71.0880975,2.4,9.8,327985.6609417593,4689512.913352709,19,T
1675438032.7490456,29,5765,0,GPS_Frame 1,42.338856,-71.08810033333333,2.4,11.3,327985.39844009373,4689511.7346323235,19,T
1675438033.8251436,30,5766,0,GPS_Frame 1,42.33885083333333,-71.08810116666668,2.4,12.2,327985.31569984707,4689511.162599104,19,T
1675438034.915159,31,5767,0,GPS_Frame 1,42.33884466666667,-71.08810266666666,2.4,13.3,327985.1753114527,4689510.48087217,19,T
1675438035.9959233,32,5768,0,GPS_Frame 1,42.33884233333333,-71.08810233333334,2.4,14.0,327985.196409505,4689510.221098892,19,T
1675438037.0719917,33,5769,0,GPS_Frame 1,42.33884150000001,-71.08810166666667,2.4,14.3,327985.2490584649,4689510.127214875,19,T
1675438038.1634507,34,5770,0,GPS_Frame 1,42.33883816666666,-71.088103,2.4,14.9,327985.13012639555,4689509.7597709065,19,T
1675438039.250657,35,5771,0,GPS_Frame 1,42.33883583333333,-71.088104,2.4,15.2,327985.0413818114,4689509.502694996,19,T
1675438040.3391948,36,5772,0,GPS_Frame 1,42.33883316666667,-71.0881045,2.4,15.6,327984.9929192694,4689509.207593443,19,T
1675438041.4182513,37,5773,0,GPS_Frame 1,42.33883016666667,-71.08810466666667,2.4,15.8,327984.971008443,4689508.874803411,19,T
1675438042.4951706,38,5774,0,GPS_Frame 1,42.33882783333333,-71.08810566666666,2.4,16.2,327984.88226384006,4689508.617727505,19,T
1675438043.5850093,39,5775,0,GPS_Frame 1,42.33882633333333,-71.08810616666666,2.4,16.3,327984.8369825939,4689508.452175417,19,T
1675438044.665187,40,5776,0,GPS_Frame 1,42.338824833333334,-71.08810700000001,2.4,16.5,327984.76424067875,4689508.2872976735,19,T
1675438045.7517793,41,5777,0,GPS_Frame 1,42.338823500000004,-71.08810783333334,2.4,16.6,327984.6919532331,4689508.140926999,19,T
1675438046.8327835,42,5778,0,GPS_Frame 1,42.338821499999995,-71.08810866666666,2.4,16.6,327984.6178478956,4689507.920528056,19,T
1675438047.917035,43,5779,0,GPS_Frame 1,42.33881983333334,-71.0881095,2.4,16.6,327984.5446514999,4689507.737143249,19,T
1675438049.0106292,44,5780,0,GPS_Frame 1,42.33881816666667,-71.08811083333333,2.4,16.7,327984.4302640945,4689507.554769959,19,T
1675438050.083672,45,5781,0,GPS_Frame 1,42.33881616666666,-71.08811216666666,2.4,16.8,327984.31496774056,4689507.335382535,19,T
1675438051.1577215,46,5782,0,GPS_Frame 1,42.338814666666664,-71.08811349999999,2.4,17.1,327984.201034797,4689507.171516316,19,T
1675438052.2426736,47,5783,0,GPS_Frame 1,42.338814500000005,-71.08811416666667,2.4,17.1,327984.145658984,4689507.154357941,19,T
1675438053.3206012,48,5784,0,GPS_Frame 1,42.33881383333334,-71.08811516666667,2.41,17.2,327984.0614590746,4689507.082352712,19,T
1675438054.404043,49,5785,0,GPS_Frame 1,42.338814166666666,-71.08811566666667,2.41,17.3,327984.0211770182,4689507.120378363,19,T
1675438055.4885132,50,5786,0,GPS_Frame 1,42.338814,-71.0881165,2.41,17.4,327983.9520708694,4689507.103557161,19,T
1675438056.5760956,51,5787,0,GPS_Frame 1,42.338813333333334,-71.08811716666668,2.41,17.5,327983.89533162734,4689507.030877586,19,T
1675438057.6654375,52,5788,0,GPS_Frame 1,42.338812499999996,-71.08811783333334,2.41,17.6,327983.83813791367,4689506.939690946,19,T
1675438058.7398398,53,5789,0,GPS_Frame 1,42.33881233333333,-71.08811833333333,2.41,17.8,327983.7964924332,4689506.9221954,19,T
1675438059.8224297,54,5790,0,GPS_Frame 1,42.33881233333333,-71.08811866666666,2.41,18.0,327983.76903176255,4689506.922869747,19,T
1675438060.9126658,55,5791,0,GPS_Frame 1,42.338812000000004,-71.08811916666667,2.41,18.1,327983.7269318048,4689506.886867134,19,T
1675438061.9890182,56,5792,0,GPS_Frame 1,42.33881216666667,-71.08811933333332,2.41,18.1,327983.7136559465,4689506.905711374,19,T
1675438063.090124,57,5793,0,GPS_Frame 1,42.338812999999995,-71.08811933333332,2.41,18.3,327983.71592832153,4689506.998246707,19,T
1675438064.1687918,58,5794,0,GPS_Frame 1,42.33881233333333,-71.08812033333334,1.78,18.5,327983.6317284056,4689506.926241483,19,T
1675438065.244607,59,5795,0,GPS_Frame 1,42.33881066666666,-71.08812233333333,1.78,18.8,327983.46241962153,4689506.745216902,19,T
1675438066.3239117,60,5796,0,GPS_Frame 1,42.33880783333334,-71.08812483333332,1.78,19.1,327983.24873848975,4689506.435654383,19,T
1675438067.421229,61,5797,0,GPS_Frame 1,42.33880316666667,-71.08812866666668,1.78,19.6,327982.9202153918,4689505.925211535,19,T
1675438068.5044565,62,5798,0,GPS_Frame 1,42.33879866666666,-71.08813283333333,1.78,20.2,327982.5646860514,4689505.433950118,19,T
1675438069.587632,63,5799,0,GPS_Frame 1,42.33880033333333,-71.08813183333334,2.41,20.2,327982.6516128572,4689505.616997732,19,T
1675438070.6719081,64,5800,0,GPS_Frame 1,42.33880083333334,-71.0881325,1.78,20.4,327982.5980549389,4689505.673867635,19,T
1675438071.7554765,65,5801,0,GPS_Frame 1,42.33880066666667,-71.0881335,1.78,20.6,327982.51521843206,4689505.6573836235,19,T
1675438072.8349402,66,5802,0,GPS_Frame 1,42.33880033333333,-71.088135,1.78,20.6,327982.3907364328,4689505.6234040735,19,T
1675438073.9184678,67,5803,0,GPS_Frame 1,42.338798,-71.08813883333333,1.78,20.9,327982.06857594464,4689505.372060196,19,T
1675438075.0153692,68,5804,0,GPS_Frame 1,42.33879466666667,-71.08814349999999,1.78,21.2,327981.67503685993,4689505.011359823,19,T
1675438076.0932772,69,5805,0,GPS_Frame 1,42.33879100000001,-71.08814766666666,1.78,21.6,327981.32177979266,4689504.612633799,19,T
1675438077.166277,70,5806,0,GPS_Frame 1,42.33879233333334,-71.08814699999999,2.42,21.4,327981.3803369993,4689504.75934162,19,T
1675438078.2536912,71,5807,0,GPS_Frame 1,42.33879183333333,-71.08814816666667,1.78,21.6,327981.28286117414,4689504.706180667,19,T
1675438079.3377573,72,5808,0,GPS_Frame 1,42.33879083333333,-71.08814983333333,1.78,21.8,327981.14283088763,4689504.598510049,19,T
1675438080.4228632,73,5809,0,GPS_Frame 1,42.33878866666667,-71.08815116666666,1.78,21.9,327981.02707990084,4689504.360615612,19,T
1675438081.5022945,74,5810,0,GPS_Frame 1,42.33878583333333,-71.088154,1.78,22.2,327980.785937909,4689504.05172752,19,T
1675438082.5888398,75,5811,0,GPS_Frame 1,42.33878216666667,-71.08815766666666,1.78,22.6,327980.47387177043,4689503.651990001,19,T
1675438083.667846,76,5812,0,GPS_Frame 1,42.33877783333334,-71.088162,1.78,23.0,327980.1050662886,4689503.17957295,19,T
1675438084.7577538,77,5813,0,GPS_Frame 1,42.33877466666666,-71.08816583333333,1.78,23.2,327979.7806331855,4689502.835693839,19,T
1675438085.8341599,78,5814,0,GPS_Frame 1,42.338771333333334,-71.08816966666667,1.78,23.4,327979.4557455635,4689502.4733076785,19,T
1675438086.9210284,79,5815,0,GPS_Frame 1,42.338769333333325,-71.08817266666667,1.78,23.4,327979.20314552763,4689502.257292151,19,T
1675438088.00366,80,5816,0,GPS_Frame 1,42.338766166666666,-71.08817583333332,1.78,23.6,327978.93363372266,4689501.912064353,19,T
1675438089.0885813,81,5817,0,GPS_Frame 1,42.338763333333326,-71.08817866666666,1.78,23.7,327978.69249155704,4689501.6031763265,19,T
1675438090.1704235,82,5818,0,GPS_Frame 1,42.33876050000001,-71.08818166666667,1.78,23.9,327978.4376190242,4689501.2946254965,19,T
1675438091.254495,83,5819,0,GPS_Frame 1,42.338757666666666,-71.08818433333333,1.78,24.2,327978.2102071661,4689500.985400304,19,T
1675438092.3363347,84,5820,0,GPS_Frame 1,42.338756333333336,-71.08818666666666,1.78,24.3,327978.01434638695,4689500.842064349,19,T
1675438093.4214194,85,5821,0,GPS_Frame 1,42.33875433333333,-71.08818883333333,1.78,24.6,327977.83039798896,4689500.624362949,19,T
1675438094.5071528,86,5822,0,GPS_Frame 1,42.33875249999999,-71.08819033333333,1.78,24.8,327977.70182546554,4689500.423819878,19,T
1675438095.5885935,87,5823,0,GPS_Frame 1,42.338751,-71.08819166666667,1.78,24.9,327977.58789226436,4689500.2599537615,19,T
1675438096.674262,88,5824,0,GPS_Frame 1,42.33874949999999,-71.088193,1.78,25.0,327977.47395905596,4689500.096087644,19,T
1675438097.754908,89,5825,0,GPS_Frame 1,42.33874983333333,-71.08819616666666,1.78,24.5,327977.21399140253,4689500.139508304,19,T
1675438098.83822,90,5826,0,GPS_Frame 1,42.33874983333333,-71.08819883333334,1.78,24.1,327976.9943058151,4689500.144903283,19,T
1675438099.9213848,91,5827,0,GPS_Frame 1,42.33874833333333,-71.08820016666667,1.78,23.9,327976.8803725927,4689499.981037176,19,T
1675438101.0048034,92,5828,0,GPS_Frame 1,42.33874716666666,-71.08820216666666,1.78,23.7,327976.7124269517,4689499.85553395,19,T
1675438102.088411,93,5829,0,GPS_Frame 1,42.33874716666666,-71.0882045,1.78,23.4,327976.5202020518,4689499.86025457,19,T
1675438103.1701581,94,5830,0,GPS_Frame 1,42.33874683333333,-71.08820816666666,1.78,22.7,327976.2172253679,4689499.8306585625,19,T
1675438104.2603214,95,5831,0,GPS_Frame 1,42.33874716666666,-71.08821283333333,1.78,21.8,327975.8336845597,4689499.877113968,19,T
