Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,HDOP,Altitude,UTM_easting,UTM_northing,Zone,Letter
1675513302.0476787,45,728,0,GPS_Frame 1,42.37526883333333,-71.03117783333333,1.2,11.6,332771.3935169547,4693441.516343617,19,T
1675513303.1316445,46,729,0,GPS_Frame 1,42.375281333333334,-71.031165,1.2,11.4,332772.48331583524,4693442.879120073,19,T
1675513304.216211,47,730,0,GPS_Frame 1,42.37529016666667,-71.03115233333332,1.05,11.3,332773.54965970496,4693443.835068325,19,T
1675513305.2926664,48,731,0,GPS_Frame 1,42.37530466666667,-71.0311505,1.05,11.4,332773.7390920765,4693445.441578652,19,T
1675513306.3813715,49,732,0,GPS_Frame 1,42.375306833333326,-71.03114316666667,1.05,11.5,332774.3486257454,4693445.667738867,19,T
1675513307.4653957,50,733,0,GPS_Frame 1,42.375322833333335,-71.03113316666666,1.05,11.5,332775.2144335752,4693447.424741053,19,T
1675513308.5566497,51,734,0,GPS_Frame 1,42.37532783333333,-71.03112949999999,1.05,11.7,332775.52959601657,4693447.972738253,19,T
1675513309.641027,52,735,0,GPS_Frame 1,42.37533933333334,-71.03110583333334,1.05,11.3,332777.5086903304,4693449.203152764,19,T
1675513310.7213912,53,736,0,GPS_Frame 1,42.37535316666667,-71.031094,1.05,11.4,332778.5196918406,4693450.715954957,19,T
1675513311.8024423,54,737,0,GPS_Frame 1,42.37536466666667,-71.03107783333333,1.05,10.7,332779.8812802892,4693451.961129944,19,T
1675513312.8814583,55,738,0,GPS_Frame 1,42.375375500000004,-71.03106283333334,1.05,9.9,332781.14504258544,4693453.1345726885,19,T
1675513313.9748206,56,739,0,GPS_Frame 1,42.37538516666667,-71.03105466666666,1.05,9.8,332781.84309290623,4693454.191913439,19,T
1675513315.0489366,57,740,0,GPS_Frame 1,42.37539366666667,-71.03104466666667,1.05,9.4,332782.6889920401,4693455.116096628,19,T
1675513316.1319697,58,741,0,GPS_Frame 1,42.375403999999996,-71.03103166666666,1.05,9.0,332783.78675848467,4693456.237954357,19,T
