Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter,fixed_quality
1676933493.2087257,0,82293,0,GNSS,42.33826602333333,71.08661749833334,33.151,0.62,671894.0503290645,4689443.223471609,225133.0,42,T,4
1676933494.2992826,0,82294,0,GNSS,42.33826599166667,71.086617525,33.149,0.62,671894.0526122259,4689443.220009175,225134.0,42,T,4
1676933495.1450205,0,82295,0,GNSS,42.338265981666666,71.08661752,33.152,0.62,671894.05222756,4689443.218888643,225135.0,42,T,4
1676933496.168284,0,82296,0,GNSS,42.338266025,71.08661749,33.146,0.62,671894.0496380004,4689443.223639834,225136.0,42,T,4
1676933497.1798155,0,82297,0,GNSS,42.338266025,71.086617535,33.146,0.62,671894.053345224,4689443.223730805,225137.0,42,T,4
1676933498.1798618,0,82298,0,GNSS,42.33826601166667,71.086617515,33.15,0.62,671894.0517338999,4689443.222209807,225138.0,42,T,4
1676933499.1902401,0,82299,0,GNSS,42.33826601,71.08661749666666,33.15,0.62,671894.0502280919,4689443.221987674,225139.0,42,T,4
1676933500.1796987,0,82300,0,GNSS,42.33826601166667,71.086617515,33.147,0.62,671894.0517338999,4689443.222209807,225140.0,42,T,4
1676933501.2461824,0,82301,0,GNSS,42.338265995,71.08661747333333,33.152,0.62,671894.0483467029,4689443.220274868,225141.0,42,T,4
1676933502.1518621,0,82302,0,GNSS,42.33826599,71.08661748833333,33.148,0.62,671894.0495960664,4689443.21974998,225142.0,42,T,4
1676933503.1909535,0,82303,0,GNSS,42.33826602166667,71.08661752833333,33.148,0.62,671894.0528050883,4689443.223347185,225143.0,42,T,4
1676933504.1823432,0,82304,0,GNSS,42.33826603666667,71.08661750833333,33.153,0.62,671894.051116562,4689443.224972389,225144.0,42,T,4
1676933505.1898377,0,82305,0,GNSS,42.338266043333334,71.08661747833334,33.153,0.62,671894.0486269138,4689443.225652023,225145.0,42,T,4
1676933506.1930416,0,82306,0,GNSS,42.338266018333336,71.08661750333333,33.15,0.62,671894.0507546011,4689443.222926505,225146.0,42,T,4
1676933507.19087,0,82307,0,GNSS,42.33826603,71.086617455,33.149,0.62,671894.0467409815,4689443.224124289,225147.0,42,T,4
1676933508.1713736,0,82308,0,GNSS,42.33826603,71.08661749833334,33.147,0.62,671894.0503108988,4689443.22421189,225148.0,42,T,4
1676933509.2297893,0,82309,0,GNSS,42.338266026666666,71.08661753833333,33.149,0.62,671894.0536152909,4689443.223922611,225149.0,42,T,4
1676933510.1993349,0,82310,0,GNSS,42.33826602833334,71.08661752166667,33.151,0.62,671894.052237704,4689443.224073989,225150.0,42,T,4
1676933511.1753821,0,82311,0,GNSS,42.33826602833334,71.086617475,33.151,0.62,671894.0483931785,4689443.223979649,225151.0,42,T,4
1676933512.1717646,0,82312,0,GNSS,42.33826602166667,71.08661749333334,33.144,0.62,671894.0499216936,4689443.22327643,225152.0,42,T,4
1676933513.2223,0,82313,0,GNSS,42.338266005,71.0866175,33.139,0.62,671894.0505163244,4689443.221439201,225153.0,42,T,4
1676933514.2589674,0,82314,0,GNSS,42.338266,71.08661749,33.15,0.62,671894.0497061219,4689443.220863773,225154.0,42,T,4
1676933515.1839397,0,82315,0,GNSS,42.33826602833334,71.08661750833333,33.144,0.62,671894.051139269,4689443.224047035,225155.0,42,T,4
1676933516.1812751,0,82316,0,GNSS,42.338266018333336,71.08661751666666,33.146,0.62,671894.0518530383,4689443.222953459,225156.0,42,T,4
1676933517.183711,0,82317,0,GNSS,42.33826600166667,71.08661748666667,33.15,0.62,671894.0494269722,4689443.221042104,225157.0,42,T,4
1676933518.1717308,0,82318,0,GNSS,42.338266008333335,71.08661748333333,33.147,0.62,671894.0491341962,4689443.221775649,225158.0,42,T,4
1676933519.385049,0,82319,0,GNSS,42.33826603,71.08661750666667,33.141,0.62,671894.0509974236,4689443.224228737,225159.0,42,T,4
1676933520.2203043,0,82320,0,GNSS,42.33826603166667,71.086617515,33.143,0.62,671894.0516794027,4689443.224430655,225200.0,42,T,4
1676933521.1432548,0,82321,0,GNSS,42.338266015,71.08661747166667,33.142,0.62,671894.0481548996,4689443.222492347,225201.0,42,T,4
1676933522.16738,0,82322,0,GNSS,42.33826602,71.08661748833333,33.144,0.62,671894.0495143207,4689443.223081251,225202.0,42,T,4
1676933523.187408,0,82323,0,GNSS,42.338266015,71.0866175,33.144,0.62,671894.0504890758,4689443.222549624,225203.0,42,T,4
1676933524.202003,0,82324,0,GNSS,42.33826604,71.08661750166667,33.145,0.62,671894.0505582584,4689443.225329052,225204.0,42,T,4
1676933525.4069972,0,82325,0,GNSS,42.33826602833334,71.08661749333334,33.144,0.62,671894.0499035278,4689443.224016711,225205.0,42,T,4
1676933526.2042983,0,82326,0,GNSS,42.33826603833333,71.08661749333334,33.144,0.62,671894.0498762793,4689443.225127135,225206.0,42,T,4
1676933527.1748555,0,82327,0,GNSS,42.33826603166667,71.08661748166666,33.145,0.62,671894.0489333121,4689443.224363269,225207.0,42,T,4
1676933528.147437,0,82328,0,GNSS,42.33826602333333,71.08661743,33.145,0.62,671894.0446995792,4689443.223333467,225208.0,42,T,4
1676933529.1716304,0,82329,0,GNSS,42.33826603,71.086617435,33.146,0.62,671894.0450933259,4689443.224083857,225209.0,42,T,4
1676933530.177046,0,82330,0,GNSS,42.33826602166667,71.08661747166667,33.146,0.62,671894.0481367339,4689443.22323263,225210.0,42,T,4
1676933531.2007704,0,82331,0,GNSS,42.338265995,71.08661743833333,33.143,0.62,671894.0454633061,4689443.220204112,225211.0,42,T,4
1676933532.201797,0,82332,0,GNSS,42.338266015,71.08661745,33.144,0.62,671894.0463699399,4689443.2224485455,225212.0,42,T,4
1676933533.14937,0,82333,0,GNSS,42.33826602333333,71.08661749166667,33.144,0.62,671894.0497798481,4689443.223458132,225213.0,42,T,4
1676933534.1813564,0,82334,0,GNSS,42.338266006666665,71.08661747333333,33.145,0.62,671894.048314913,4689443.221570362,225214.0,42,T,4
1676933535.1874282,0,82335,0,GNSS,42.33826603833333,71.08661749166667,33.143,0.62,671894.0497389752,4689443.225123766,225215.0,42,T,4
1676933536.198098,0,82336,0,GNSS,42.33826602,71.08661747833334,33.148,0.62,671894.0486904939,4689443.223061034,225216.0,42,T,4
1676933537.1995926,0,82337,0,GNSS,42.33826601166667,71.08661746666667,33.147,0.62,671894.047752068,4689443.222112097,225217.0,42,T,4
1676933538.1692948,0,82338,0,GNSS,42.338266018333336,71.08661748833333,33.15,0.62,671894.049518862,4689443.222896181,225218.0,42,T,4
1676933539.1579432,0,82339,0,GNSS,42.33826602833334,71.086617495,33.141,0.62,671894.050040832,4689443.22402008,225219.0,42,T,4
1676933540.1868026,0,82340,0,GNSS,42.338266016666665,71.08661747,33.142,0.62,671894.048013052,4689443.222674048,225220.0,42,T,4
1676933541.2030644,0,82341,0,GNSS,42.33826605,71.08661748,33.14,0.62,671894.0487460522,4689443.226395677,225221.0,42,T,4
1676933542.2010145,0,82342,0,GNSS,42.338266025,71.08661746333334,33.147,0.62,671894.0474411284,4689443.223585925,225222.0,42,T,4
1676933543.1909986,0,82343,0,GNSS,42.33826603666667,71.08661749333334,33.141,0.62,671894.0498808208,4689443.224942066,225223.0,42,T,4
1676933544.1507645,0,82344,0,GNSS,42.33826602833334,71.086617475,33.143,0.62,671894.0483931785,4689443.223979649,225224.0,42,T,4
1676933545.1838305,0,82345,0,GNSS,42.33826603333333,71.08661747333333,33.141,0.62,671894.0482422501,4689443.224531492,225225.0,42,T,4
1676933546.1905084,0,82346,0,GNSS,42.33826603333333,71.08661749,33.146,0.62,671894.0496152933,4689443.224565185,225226.0,42,T,4
1676933547.167461,0,82347,0,GNSS,42.33826604833333,71.08661751666666,33.137,0.62,671894.0517712925,4689443.22628473,225227.0,42,T,4
1676933548.1700678,0,82348,0,GNSS,42.33826605833333,71.08661749666666,33.143,0.62,671894.0500963904,4689443.227354723,225228.0,42,T,4
1676933549.1824918,0,82349,0,GNSS,42.33826603166667,71.08661747833334,33.14,0.62,671894.0486587038,4689443.22435653,225229.0,42,T,4
1676933550.2204523,0,82350,0,GNSS,42.33826603166667,71.08661749333334,33.141,0.62,671894.049894445,4689443.224386854,225230.0,42,T,4
1676933551.2213926,0,82351,0,GNSS,42.33826605,71.086617495,33.139,0.62,671894.0499817934,4689443.226426,225231.0,42,T,4
1676933552.1745703,0,82352,0,GNSS,42.338266041666664,71.08661747833334,33.135,0.62,671894.0486314553,4689443.225466954,225232.0,42,T,4
1676933553.1759572,0,82353,0,GNSS,42.338266035,71.08661744666666,33.138,0.62,671894.0460408345,4689443.224662653,225233.0,42,T,4
1676933554.1766963,0,82354,0,GNSS,42.33826603666667,71.086617455,33.138,0.62,671894.0467228157,4689443.224864571,225234.0,42,T,4
1676933555.1950796,0,82355,0,GNSS,42.33826603666667,71.08661749666666,33.14,0.62,671894.0501554289,4689443.224948804,225235.0,42,T,4
