Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,HDOP,Altitude,UTM_easting,UTM_northing,Zone,Letter
1675728602.078632,15,624,0,GPS_Frame 1,42.3371435,-71.09046366666666,1.16,9.0,327786.02749758697,4689326.358305457,19,T
1675728603.0774064,16,625,0,GPS_Frame 1,42.337143,-71.09046166666667,1.16,9.4,327786.19090108655,4689326.298733656,19,T
1675728604.0715265,17,626,0,GPS_Frame 1,42.337143,-71.09046083333332,1.16,9.6,327786.2595545952,4689326.297045904,19,T
1675728605.0774496,18,627,0,GPS_Frame 1,42.33714266666666,-71.09046,1.15,9.8,327786.327298159,4689326.2583440235,19,T
1675728606.0801585,19,628,0,GPS_Frame 1,42.337143166666664,-71.09045983333334,1.15,10.0,327786.3423937708,4689326.313527668,19,T
1675728607.0739715,20,629,0,GPS_Frame 1,42.337143,-71.09045933333333,1.15,10.2,327786.38313090533,4689326.294007954,19,T
1675728608.0740535,21,630,0,GPS_Frame 1,42.33714216666667,-71.090458,1.15,10.5,327786.4907016653,4689326.198772231,19,T
1675728609.0734634,22,631,0,GPS_Frame 1,42.33714166666667,-71.09045766666667,1.15,10.9,327786.51679815806,4689326.142575938,19,T
1675728610.0789983,23,632,0,GPS_Frame 1,42.33714166666667,-71.0904575,1.15,11.2,327786.53052885924,4689326.142238389,19,T
1675728611.082731,24,633,0,GPS_Frame 1,42.33714233333333,-71.09045766666667,1.05,11.4,327786.5186180372,4689326.216604197,19,T
1675728612.0774968,25,634,0,GPS_Frame 1,42.337143166666664,-71.0904575,1.05,11.7,327786.53462358704,4689326.3088019695,19,T
1675728613.0789967,26,635,0,GPS_Frame 1,42.33714466666667,-71.090457,1.05,12.0,327786.57991041656,4689326.474352904,19,T
1675728614.0815563,27,636,0,GPS_Frame 1,42.33714566666666,-71.09045683333333,1.05,12.3,327786.59637093695,4689326.585057741,19,T
1675728615.0788407,28,637,0,GPS_Frame 1,42.33714733333333,-71.090457,1.05,12.6,327786.5871899314,4689326.770465937,19,T
1675728616.078809,29,638,0,GPS_Frame 1,42.33714916666666,-71.090457,1.05,12.9,327786.59219459805,4689326.974043649,19,T
1675728617.0789576,30,639,0,GPS_Frame 1,42.33715133333333,-71.0904565,1.05,13.2,327786.6393013037,4689327.213622841,19,T
1675728618.0699615,31,640,0,GPS_Frame 1,42.33715350000001,-71.09045683333333,1.05,13.4,327786.61775451165,4689327.454889783,19,T
1675728619.069007,32,641,0,GPS_Frame 1,42.3371555,-71.0904575,1.32,13.4,327786.5682913534,4689327.678324754,19,T
1675728620.073748,33,642,0,GPS_Frame 1,42.3371585,-71.09045833333333,1.05,13.4,327786.50782732375,4689328.013139669,19,T
1675728621.0788534,34,643,0,GPS_Frame 1,42.33716133333334,-71.09045916666668,1.05,13.4,327786.4469083266,4689328.329447519,19,T
1675728622.080305,35,644,0,GPS_Frame 1,42.33716366666666,-71.09046,1.05,13.5,327786.3846244287,4689328.590234173,19,T
1675728623.0795903,36,645,0,GPS_Frame 1,42.33716533333333,-71.09046033333334,1.05,13.5,327786.36171274167,4689328.775979921,19,T
1675728624.081221,37,646,0,GPS_Frame 1,42.33716666666666,-71.0904605,1.05,13.5,327786.35162181046,4689328.924373989,19,T
1675728625.0777538,38,647,0,GPS_Frame 1,42.337168166666665,-71.09046116666667,1.05,13.6,327786.30079376244,4689329.092287774,19,T
1675728626.0794246,39,648,0,GPS_Frame 1,42.337169499999995,-71.09046199999999,1.05,13.6,327786.2357800531,4689329.242032043,19,T
1675728627.0784569,40,649,0,GPS_Frame 1,42.337171999999995,-71.09046366666666,1.05,13.6,327786.10529766785,4689329.523013518,19,T
1675728628.078384,41,650,0,GPS_Frame 1,42.337174000000005,-71.0904655,1.32,13.5,327785.9597196866,4689329.748811357,19,T
1675728629.0669467,42,651,0,GPS_Frame 1,42.33717616666666,-71.09046716666667,1.32,13.4,327785.82832737884,4689329.992778709,19,T
1675728630.0812638,43,652,0,GPS_Frame 1,42.337177999999994,-71.09046866666667,1.05,13.4,327785.70975583105,4689330.1993943835,19,T
1675728631.0705476,44,653,0,GPS_Frame 1,42.33717983333333,-71.09047016666666,1.05,13.3,327785.5911842907,4689330.406010061,19,T
1675728632.072342,45,654,0,GPS_Frame 1,42.337180833333335,-71.09047133333334,1.05,13.1,327785.497799275,4689330.519415314,19,T
1675728633.0720398,46,655,0,GPS_Frame 1,42.33718166666666,-71.09047266666667,1.05,12.9,327785.3902286006,4689330.614651052,19,T
1675728634.0778606,47,656,0,GPS_Frame 1,42.33718283333333,-71.09047366666667,1.05,12.7,327785.31102925696,4689330.746225819,19,T
1675728635.0776713,48,657,0,GPS_Frame 1,42.337183833333334,-71.09047416666667,1.05,12.7,327785.2725670227,4689330.858280866,19,T
1675728636.0770044,49,658,0,GPS_Frame 1,42.3371845,-71.0904745,1.05,12.6,327785.24692553404,4689330.93298423,19,T
1675728637.079161,50,659,0,GPS_Frame 1,42.337185166666664,-71.09047433333333,1.05,12.7,327785.2624761211,4689331.006674937,19,T
1675728638.0756106,51,660,0,GPS_Frame 1,42.33718533333334,-71.09047316666667,1.05,12.8,327785.3590459387,4689331.022819137,19,T
1675728639.078471,52,661,0,GPS_Frame 1,42.337185,-71.09047166666666,1.05,13.0,327785.4817122196,4689330.982767038,19,T
1675728640.079721,53,662,0,GPS_Frame 1,42.33718433333333,-71.09046966666666,1.05,13.2,327785.6446606337,4689330.904688155,19,T
