Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter,fixed_quality
1676930597.1917787,0,79397,0,GNSS,42.337228333333336,71.08695066666667,24.5,0.61,671924.3256245108,4689328.669490508,220317.0,42,T,4
1676930598.2008193,0,79398,0,GNSS,42.337228333333336,71.08695066666667,24.5,0.6,671924.3256245108,4689328.669490508,220318.0,42,T,4
1676930599.1971836,0,79399,0,GNSS,42.337228333333336,71.08695066666667,24.5,0.6,671924.3256245108,4689328.669490508,220319.0,42,T,4
1676930600.2779317,0,79400,0,GNSS,42.337228333333336,71.08695066666667,24.5,0.6,671924.3256245108,4689328.669490508,220320.0,42,T,4
1676930601.1591816,0,79401,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.59,671924.3260787171,4689328.650983446,220321.0,42,T,4
1676930602.184858,0,79402,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.59,671924.3260787171,4689328.650983446,220322.0,42,T,4
1676930603.164788,0,79403,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.6,671924.3260787171,4689328.650983446,220323.0,42,T,4
1676930604.1550434,0,79404,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.59,671924.3260787171,4689328.650983446,220324.0,42,T,4
1676930605.19413,0,79405,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.59,671924.3260787171,4689328.650983446,220325.0,42,T,4
1676930606.1630704,0,79406,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.6,671924.3260787171,4689328.650983446,220326.0,42,T,4
1676930607.185705,0,79407,0,GNSS,42.33722816666667,71.0869505,24.5,0.59,671924.3123480377,4689328.650646463,220327.0,42,T,4
1676930608.1874626,0,79408,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.59,671924.3260787171,4689328.650983446,220328.0,42,T,4
1676930609.1895509,0,79409,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.6,671924.3260787171,4689328.650983446,220329.0,42,T,4
1676930610.1532323,0,79410,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.6,671924.3260787171,4689328.650983446,220330.0,42,T,4
1676930611.1596947,0,79411,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.6,671924.3260787171,4689328.650983446,220331.0,42,T,4
1676930612.1897216,0,79412,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.61,671924.3260787171,4689328.650983446,220332.0,42,T,4
1676930613.1547346,0,79413,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.6,671924.3260787171,4689328.650983446,220333.0,42,T,4
1676930614.133628,0,79414,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.59,671924.3260787171,4689328.650983446,220334.0,42,T,4
1676930615.181027,0,79415,0,GNSS,42.33722816666667,71.08695066666667,24.6,0.6,671924.3260787171,4689328.650983446,220335.0,42,T,4
1676930616.197541,0,79416,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.59,671924.3260787171,4689328.650983446,220336.0,42,T,4
1676930617.2089016,0,79417,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.6,671924.3260787171,4689328.650983446,220337.0,42,T,4
1676930618.1806345,0,79418,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.6,671924.3260787171,4689328.650983446,220338.0,42,T,4
1676930619.2606719,0,79419,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.59,671924.3260787171,4689328.650983446,220339.0,42,T,4
1676930620.17268,0,79420,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.59,671924.3260787171,4689328.650983446,220340.0,42,T,4
1676930621.1735642,0,79421,0,GNSS,42.337228,71.08695066666667,24.5,0.6,671924.3265329236,4689328.632476386,220341.0,42,T,4
1676930622.1863408,0,79422,0,GNSS,42.337228,71.08695066666667,24.5,0.58,671924.3265329236,4689328.632476386,220342.0,42,T,4
1676930623.195979,0,79423,0,GNSS,42.337228333333336,71.0869505,24.5,0.58,671924.3118938312,4689328.6691535255,220343.0,42,T,4
1676930624.2240267,0,79424,0,GNSS,42.33722816666667,71.0869505,24.5,0.56,671924.3123480377,4689328.650646463,220344.0,42,T,4
1676930625.205547,0,79425,0,GNSS,42.337228333333336,71.0869505,24.5,0.56,671924.3118938312,4689328.6691535255,220345.0,42,T,4
1676930626.1781018,0,79426,0,GNSS,42.33722816666667,71.0869505,24.5,0.56,671924.3123480377,4689328.650646463,220346.0,42,T,4
1676930627.174577,0,79427,0,GNSS,42.33722816666667,71.0869505,24.5,0.57,671924.3123480377,4689328.650646463,220347.0,42,T,4
1676930628.1792388,0,79428,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.58,671924.3260787171,4689328.650983446,220348.0,42,T,4
1676930629.1968331,0,79429,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.58,671924.3260787171,4689328.650983446,220349.0,42,T,4
1676930630.1793604,0,79430,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.6,671924.3260787171,4689328.650983446,220350.0,42,T,4
1676930631.1720464,0,79431,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.59,671924.3260787171,4689328.650983446,220351.0,42,T,4
1676930632.1729717,0,79432,0,GNSS,42.33722816666667,71.08695066666667,24.5,0.6,671924.3260787171,4689328.650983446,220352.0,42,T,4
1676930633.2115955,0,79433,0,GNSS,42.337228333333336,71.08695066666667,24.5,0.56,671924.3256245108,4689328.669490508,220353.0,42,T,4
