Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter,fixed_quality
1676931317.1527035,0,80117,0,GNSS,42.3372365,71.08667216666667,23.7,0.6,671901.3594057574,4689329.013275585,221517.0,42,T,5
1676931318.333222,0,80118,0,GNSS,42.337242333333336,71.0866615,23.6,0.6,671900.4647473586,4689329.639458736,221518.0,42,T,5
1676931319.1571891,0,80119,0,GNSS,42.337247833333336,71.086651,23.4,0.67,671899.5847280789,4689330.228964811,221519.0,42,T,5
1676931320.1413364,0,80120,0,GNSS,42.33725316666666,71.08664066666667,23.3,0.73,671898.7188937622,4689330.800300864,221520.0,42,T,5
1676931321.1584575,0,80121,0,GNSS,42.33725866666666,71.08662983333333,23.2,0.68,671897.8114134339,4689331.3891332885,221521.0,42,T,5
1676931322.1893296,0,80122,0,GNSS,42.3372635,71.0866195,23.0,0.73,671896.946941813,4689331.904948371,221522.0,42,T,5
1676931323.166004,0,80123,0,GNSS,42.33726883333333,71.08660916666666,23.0,0.73,671896.0811079246,4689332.4762847405,221523.0,42,T,5
1676931324.1512802,0,80124,0,GNSS,42.33727416666667,71.086598,22.9,0.73,671895.1466208335,4689333.045936581,221524.0,42,T,5
1676931325.1569319,0,80125,0,GNSS,42.337279833333334,71.08658816666667,22.7,0.75,671894.3210709873,4689333.65529806,221525.0,42,T,5
1676931326.151759,0,80126,0,GNSS,42.3372845,71.086578,22.6,0.8,671893.4707847049,4689334.152943422,221526.0,42,T,5
1676931327.1396766,0,80127,0,GNSS,42.3372895,71.08656816666667,22.6,0.77,671892.6470516324,4689334.688276847,221527.0,42,T,5
1676931328.164024,0,80128,0,GNSS,42.337295833333336,71.08656016666667,22.5,0.8,671891.970723025,4689335.37537297,221528.0,42,T,5
1676931329.1618507,0,80129,0,GNSS,42.337303166666665,71.08655483333334,22.2,0.83,671891.5113604371,4689336.178902219,221529.0,42,T,5
1676931330.1744318,0,80130,0,GNSS,42.33730933333333,71.0865465,22.0,0.78,671890.8080248733,4689336.846817549,221530.0,42,T,5
1676931331.1508353,0,80131,0,GNSS,42.3373165,71.08654333333334,21.9,0.78,671890.5276152062,4689337.636219731,221531.0,42,T,5
1676931332.17757,0,80132,0,GNSS,42.33732466666667,71.086541,22.2,0.8,671890.313134179,4689338.538348874,221532.0,42,T,5
1676931333.1649456,0,80133,0,GNSS,42.3373325,71.08654566666667,22.2,0.8,671890.6762490141,4689339.417614415,221533.0,42,T,5
1676931334.1565163,0,80134,0,GNSS,42.33734,71.086552,22.1,0.84,671891.1775785408,4689340.263235041,221534.0,42,T,5
1676931335.2002838,0,80135,0,GNSS,42.3373475,71.08655883333333,22.0,0.83,671891.7200998999,4689341.109866468,221535.0,42,T,5
1676931336.1983304,0,80136,0,GNSS,42.337354500000004,71.0865655,21.9,0.95,671892.250252846,4689341.9006398395,221536.0,42,T,5
1676931337.1995587,0,80137,0,GNSS,42.33736066666667,71.08657233333334,21.9,0.87,671892.79640694,4689342.59921487,221537.0,42,T,5
1676931338.1470733,0,80138,0,GNSS,42.33736783333333,71.08657983333333,21.9,0.98,671893.3947587583,4689343.410180006,221538.0,42,T,5
1676931339.1732428,0,80139,0,GNSS,42.33737516666667,71.08658766666667,21.8,0.98,671894.0201176034,4689344.240326108,221539.0,42,T,5
1676931340.1794322,0,80140,0,GNSS,42.337380333333336,71.08659583333333,21.8,0.83,671894.6788412797,4689344.830554331,221540.0,42,T,5
1676931341.2036242,0,80141,0,GNSS,42.33738266666667,71.0866045,21.6,0.84,671895.3864770352,4689345.107173362,221541.0,42,T,5
1676931342.1603935,0,80142,0,GNSS,42.33738233333333,71.08661233333333,21.5,0.8,671896.0327256551,4689345.085994845,221542.0,42,T,2
1676931343.143263,0,80143,0,GNSS,42.33737933333333,71.08662083333333,21.7,0.85,671896.7411630426,4689344.770051131,221543.0,42,T,5
1676931344.154578,0,80144,0,GNSS,42.33737566666667,71.0866285,21.9,0.87,671897.3827638124,4689344.378394588,221544.0,42,T,5
1676931345.1940048,0,80145,0,GNSS,42.33737033333333,71.0866425,21.7,0.9,671898.5506706908,4689343.814470936,221545.0,42,T,5
1676931346.181699,0,80146,0,GNSS,42.337362666666664,71.08665683333334,21.7,0.86,671899.752397074,4689342.99212249,221546.0,42,T,5
1676931347.1181765,0,80147,0,GNSS,42.33735733333334,71.08667116666666,21.7,0.8,671900.9477656883,4689342.428873099,221547.0,42,T,5
1676931348.1636746,0,80148,0,GNSS,42.33735216666667,71.08667883333334,21.6,0.87,671901.5934542508,4689341.870653378,221548.0,42,T,5
